Training with 0, 1, 1 position
episode,timestep,reward
2619,520800,304.0216
2622,521400,213.922
2624,522000,326.6844
2626,522600,320.7297
2628,523200,316.9128
2630,523800,322.0289
2632,524400,322.7317
2634,525000,316.3676
2636,525600,325.341
2638,526200,314.0411
2640,526800,329.2106
2642,527400,311.4408
2644,528000,304.5383
2646,528600,328.6144
2648,529200,335.3768
2650,529800,322.9776
2652,530400,332.5896
2654,531000,303.6458
2656,531600,292.6351
2658,532200,312.9281
2660,532800,267.1531
2662,533400,325.9567
2664,534000,337.0436
2666,534600,326.4149
2668,535200,329.966
2670,535800,308.5811
2672,536400,343.491
2674,537000,313.0697
2676,537600,328.197
2678,538200,328.6645
2680,538800,326.1091
2682,539400,339.7279
2684,540000,323.5515
2686,540600,324.5449
2688,541200,330.2621
2690,541800,312.709
2692,542400,318.1825
2694,543000,308.9379
2696,543600,319.7325
2698,544200,314.8786
2700,544800,331.534
2702,545400,333.3094
2704,546000,295.1952
2706,546600,323.1944
2708,547200,321.7025
2710,547800,338.5691
2712,548400,332.423
2714,549000,327.1397
2716,549600,339.3688
2718,550200,322.6094
2720,550800,325.7046
2722,551400,326.1831
2725,552000,240.9098
2727,552600,338.0169
2729,553200,334.4194
2731,553800,333.8406
2733,554400,324.1032
2735,555000,329.323
2738,555600,250.2899
2740,556200,332.0992
2742,556800,323.9257
2744,557400,311.8307
2746,558000,303.8082
2748,558600,330.7747
2750,559200,317.1446
2752,559800,327.1784
2754,560400,322.1661
2756,561000,316.366
2758,561600,327.0079
2760,562200,312.1394
2762,562800,325.1571
2764,563400,325.5553
2766,564000,330.227
2768,564600,331.4788
2770,565200,336.8376
2772,565800,325.2729
2774,566400,333.5479
2776,567000,331.8884
2778,567600,242.5487
2780,568200,328.2472
2782,568800,329.5425
2785,569400,195.596
2787,570000,332.3465
2790,570600,243.6311
2792,571200,299.9784
2794,571800,213.1528
2796,572400,324.8871
2798,573000,324.6827
2800,573600,323.5568
2802,574200,324.2833
2804,574800,332.0751
2807,575400,216.7977
2809,576000,326.9515
2811,576600,322.8956
2813,577200,326.9573
2815,577800,314.6364
2817,578400,322.3768
2819,579000,321.2954
2821,579600,333.9373
2823,580200,321.7126
2825,580800,304.7224
2827,581400,314.3088
2829,582000,317.8018
2832,582600,251.6017
2834,583200,324.9725
2836,583800,302.5158
2838,584400,297.3326
2841,585000,243.5329
2843,585600,329.2723
2845,586200,309.6845
2847,586800,319.8529
2849,587400,264.901
2852,588000,262.7663
2854,588600,231.3903
2856,589200,309.9911
2858,589800,318.662
2860,590400,325.6236
2862,591000,316.1371
2864,591600,312.8408
2866,592200,320.6885
2868,592800,298.2035
2870,593400,329.8196
2872,594000,280.3636
2874,594600,314.8172
2876,595200,312.8886
2878,595800,324.7433
2881,596400,296.8283
2883,597000,323.6753
2885,597600,323.4102
2887,598200,329.4823
2889,598800,326.5196
2891,599400,280.7437
2893,600000,192.1427
2895,600600,327.3033
2897,601200,336.4112
2899,601800,328.5414
2901,602400,312.6923
2903,603000,322.0332
2906,603600,266.733
2908,604200,318.253
2910,604800,304.7347
2912,605400,334.231
2914,606000,322.5151
2916,606600,305.6378
2918,607200,326.3828
2920,607800,266.2096
2922,608400,326.2245
2925,609000,239.874
2927,609600,321.6541
2929,610200,335.4607
2931,610800,331.9998
2933,611400,318.6525
2935,612000,335.8697
2937,612600,325.8735
2939,613200,323.0076
2941,613800,318.8379
2943,614400,318.1001
2945,615000,313.3602
2947,615600,322.0405
2949,616200,334.1189
2951,616800,326.0938
2953,617400,329.3805
2955,618000,341.6328
2957,618600,320.427
2959,619200,326.116
2962,619800,193.1977
2965,620400,268.7985
2967,621000,335.1978
2969,621600,308.9798
2971,622200,215.8721
2973,622800,328.1995
2975,623400,321.5046
2977,624000,315.5477
2979,624600,275.0827
2982,625200,296.7959
2984,625800,299.1841
2986,626400,331.7278
2988,627000,313.9977
2990,627600,228.4301
2992,628200,335.4307
2994,628800,328.3108
2996,629400,330.8152
3000,630000,209.4549
3002,630600,315.6171
3004,631200,327.0706
3006,631800,315.0289
3008,632400,310.7637
3010,633000,327.5486
3012,633600,325.5421
3014,634200,327.0062
3016,634800,327.1474
3018,635400,334.0925
3020,636000,330.5277
3022,636600,323.4966
3024,637200,320.6525
3026,637800,334.8318
3028,638400,321.4146
3030,639000,328.2983
3032,639600,323.0971
3034,640200,330.4055
3036,640800,335.2797
3038,641400,330.2871
3040,642000,325.7715
3042,642600,332.8566
3044,643200,335.2259
3046,643800,336.2517
3048,644400,302.3379
3050,645000,316.5692
3052,645600,305.6973
3054,646200,320.0564
3056,646800,319.1426
3058,647400,286.9874
3060,648000,338.075
3062,648600,332.7576
3064,649200,334.6047
3066,649800,323.4801
3068,650400,327.0203
3070,651000,331.1852
3072,651600,319.7241
3075,652200,191.2491
3077,652800,313.809
3079,653400,327.1343
3081,654000,332.6591
3083,654600,315.0736
3085,655200,340.0157
3087,655800,305.5393
3089,656400,304.1262
3091,657000,293.9136
3093,657600,331.8264
3095,658200,334.2922
3097,658800,311.2701
3100,659400,269.6027
3102,660000,216.8821
3104,660600,325.2067
3106,661200,327.6228
3108,661800,317.7147
3110,662400,324.4112
3112,663000,329.6084
3114,663600,330.3149
3116,664200,311.4328
3118,664800,333.3541
3120,665400,332.2657
3122,666000,339.5841
3124,666600,329.9369
3126,667200,319.4228
3130,667800,199.1519
3132,668400,322.1819
3134,669000,319.8319
3137,669600,204.1108
3139,670200,324.708
3141,670800,217.2103
3143,671400,321.2568
3145,672000,330.3569
3147,672600,330.5618
3149,673200,325.4199
3151,673800,318.8262
3153,674400,338.1097
3155,675000,329.7772
3157,675600,327.3746
3159,676200,325.5321
3161,676800,329.1675
3163,677400,319.1365
3166,678000,225.3246
3168,678600,280.0101
3170,679200,320.9345
3172,679800,337.2599
3174,680400,325.3523
3176,681000,336.5185
3178,681600,321.7841
3181,682200,217.8384
3183,682800,331.9484
3185,683400,317.1277
3187,684000,325.2266
3189,684600,307.3699
3191,685200,333.5039
3193,685800,326.3019
3195,686400,331.2131
3197,687000,336.359
3199,687600,325.1974
3201,688200,301.5862
3203,688800,336.0257
3205,689400,336.5376
3207,690000,289.7862
3209,690600,338.0175
3211,691200,323.3124
3214,691800,226.056
3216,692400,339.3665
3218,693000,321.1376
3220,693600,323.3896
3222,694200,320.823
3224,694800,310.807
3226,695400,310.6209
3228,696000,339.6643
3230,696600,324.1996
3232,697200,337.5924
3234,697800,326.3072
3236,698400,315.8296
3238,699000,320.8748
3240,699600,316.7959
3242,700200,329.8973
3244,700800,322.921
3246,701400,317.8435
3248,702000,333.2561
3250,702600,326.2309
3252,703200,336.3732
3254,703800,315.193
3256,704400,329.8924
3258,705000,331.5659
3260,705600,338.7154
3262,706200,333.8363
3264,706800,333.4922
3266,707400,337.762
3268,708000,330.8092
3270,708600,329.6267
3272,709200,312.0681
3274,709800,328.4177
3276,710400,322.5506
3278,711000,339.5447
3280,711600,323.1428
3282,712200,346.2635
3284,712800,320.022
3286,713400,339.6816
3288,714000,331.4253
3290,714600,333.6025
3292,715200,320.9469
3294,715800,333.2641
3296,716400,327.1031
3298,717000,311.7494
3300,717600,319.1484
3302,718200,337.0656
3304,718800,307.4695
3306,719400,339.2579
3308,720000,335.0171
3310,720600,340.1321
3312,721200,343.1514
3314,721800,326.3249
3316,722400,292.5684
3318,723000,315.4084
3320,723600,328.0403
3322,724200,322.7185
3324,724800,332.7953
3326,725400,337.1033
3328,726000,333.5083
3330,726600,318.389
3332,727200,334.9844
3334,727800,318.7041
3336,728400,341.8755
3338,729000,342.2107
3340,729600,338.9302
3342,730200,316.7974
3344,730800,328.1201
3346,731400,330.0775
3348,732000,349.5617
3350,732600,344.6841
3352,733200,319.1759
3354,733800,330.8824
3356,734400,328.8967
3358,735000,310.5458
3360,735600,335.73
3362,736200,326.3516
3364,736800,342.9243
3366,737400,343.7683
3368,738000,332.8097
3370,738600,333.0941
3372,739200,327.8982
3374,739800,338.7844
3376,740400,326.5898
3378,741000,320.5145
3380,741600,322.9504
3382,742200,344.2713
3384,742800,339.942
3386,743400,318.8186
3388,744000,342.9218
3390,744600,346.3088
3392,745200,333.2971
3394,745800,314.1647
3396,746400,318.2796
3398,747000,335.2468
3400,747600,336.3711
3402,748200,336.9367
3404,748800,342.6723
3406,749400,332.5793
3408,750000,310.0021
3410,750600,307.9934
3412,751200,337.8544
3414,751800,331.4246
3416,752400,343.7094
3418,753000,335.8767
3420,753600,344.6138
3422,754200,348.6409
3424,754800,332.4145
3426,755400,310.6015
3428,756000,331.2918
3430,756600,340.9986
3432,757200,340.7139
3434,757800,332.6994
3436,758400,338.0239
3438,759000,344.3269
3440,759600,336.3325
3442,760200,328.861
